map_24hmoney,category_code,vi_caption,en_caption,report_type
Thu nhập lãi thuần,IS_003,Thu nhập lãi thuần,Net Interest Income,income_statement
Thu nhập lãi và các khoản thu nhập tương tự,IS_001,Thu nhập lãi và các khoản thu nhập tương tự,Interest Income and Similar Income,income_statement
Chi phí lãi và các chi phí tương tự,IS_002,Chi phí lãi và các chi phí tương tự,Interest Expenses and Similar Charges,income_statement
Lãi thuần từ hoạt động dịch vụ,IS_006,Lãi/lỗ thuần từ hoạt động dịch vụ,Net Gain/Loss from Service Activities,income_statement
Thu nhập từ hoạt động dịch vụ,IS_004,Thu nhập từ hoạt động dịch vụ,Service Income,income_statement
chi phí hoạt động dịch vụ,IS_005,Chi phí hoạt động dịch vụ,Service Expenses,income_statement
Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,IS_007,Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,Net Gain/Loss from Foreign Exchange Trading,income_statement
Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IS_008,Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh,Net Gain/Loss from Trading Securities,income_statement
Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,IS_009,Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,Net Gain/Loss from Investment Securities,income_statement
Lãi/lỗ thuần từ hoạt động khác,IS_012,Lãi/lỗ thuần từ hoạt động khác,Net Gain/Loss from Other Activities,income_statement
Thu nhập từ hoạt động khác,IS_010,Thu nhập từ hoạt động khác,Other Income,income_statement
Chi phí hoạt động khác,IS_011,Chi phí hoạt động khác,Other Expenses,income_statement
"Thu nhập từ góp vốn, mua cổ phần",IS_013,"Thu nhập từ góp vốn, mua cổ phần",Income from Equity Investments and Share Purchases,income_statement
Chi phí hoạt động,IS_014,Chi phí hoạt động,Operating Expenses,income_statement
Lợi nhuận từ HDKD trước chi phí dự phòng rủi ro tín dụng,IS_015,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Profit before Provision for Credit Risk,income_statement
Chi phí dự phòng rủi ro tín dụng,IS_016,Chi phí dự phòng rủi ro tín dụng,Credit Risk Provision Expenses,income_statement
Tổng lợi nhuận trước thuế,IS_017,Tổng lợi nhuận trước thuế,Total Profit before Tax,income_statement
Chi phí thuế thu nhập doanh nghiệp,IS_020,Chi phí thuế TNDN,Corporate Income Tax Expenses,income_statement
Chi phí thuế TNDN hiện hành,IS_018,Chi phí thuế TNDN hiện hành,Current Corporate Income Tax Expenses,income_statement
Chi phí thuế TNDN hoãn lại,IS_019,Chi phí thuế TNDN hoãn lại,Deferred Corporate Income Tax Expenses,income_statement
Lợi nhuận sau thuế,IS_021,Lợi nhuận sau thuế,Profit after Tax,income_statement
Lợi ích của cổ đông thiểu số,IS_022,Lợi ích của cổ đông thiểu số,Minority Interests,income_statement
EPS (đ),IS_023,Lãi cơ bản trên cổ phiếu,Basic Earnings per Share (EPS),income_statement
TỔNG TÀI SẢN,BS_300,TỔNG TÀI SẢN CÓ,Total Assets,balance_sheet
"Tiền mặt, vàng bạc, đá quý",BS_110,"Tiền mặt, vàng bạc, đá quý","Cash, Gold, and Precious Stones",balance_sheet
Tiền gửi tại ngân hàng nhà nước Việt Nam,BS_120,Tiền gửi tại ngân hàng nhà nước Việt Nam,Deposits at the State Bank of Vietnam,balance_sheet
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,BS_130,Tiền gửi và cho vay các tổ chức tín dụng khác,Deposits and Loans to Other Credit Institutions,balance_sheet
Chứng khoán kinh doanh,BS_140,Chứng khoán kinh doanh,Trading Securities,balance_sheet
Các công cụ tài chính phái sinh và các tài sản tài chính khác,BS_150,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Derivative Financial Instruments and Other Financial Assets,balance_sheet
Cho vay khách hàng,BS_160,Cho vay khách hàng,Loans to Customers,balance_sheet
Chứng khoán đầu tư,BS_170,Chứng khoán đầu tư,Investment Securities,balance_sheet
