vi_caption,category_code,en_caption,report_type
1. Doanh thu bán hàng và cung cấp dịch vụ,IS_001,Revenue from sales and services rendered,income_statement
2. Các khoản giảm trừ doanh thu,IS_002,Deductions from revenue,income_statement
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),IS_010,Net revenue from sales and services rendered,income_statement
4. Giá vốn hàng bán,IS_011,Cost of goods sold,income_statement
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),IS_020,Gross profit from sales and services rendered,income_statement
6. Doanh thu hoạt động tài chính,IS_021,Financial income,income_statement
7. Chi phí tài chính,IS_022,Financial expenses,income_statement
- Trong đó: Chi phí lãi vay,IS_023,Of which: Interest expenses,income_statement
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",IS_024,Share of profit/(loss) from joint ventures and associates,income_statement
9. Chi phí bán hàng,IS_025,Selling expenses,income_statement
10. Chi phí quản lý doanh nghiệp,IS_026,Administrative expenses,income_statement
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},IS_030,Net profit from operating activities,income_statement
12. Thu nhập khác,IS_031,Other income,income_statement
13. Chi phí khác,IS_032,Other expenses,income_statement
14. Lợi nhuận khác(40=31-32),IS_040,Other profit/(loss),income_statement
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),IS_050,Total accounting profit before tax,income_statement
16. Chi phí thuế TNDN hiện hành,IS_051,Current corporate income tax expense,income_statement
17. Chi phí thuế TNDN hoãn lại,IS_052,Deferred corporate income tax expense,income_statement
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),IS_060,Profit after corporate income tax,income_statement
19. Lợi nhuận sau thuế công ty mẹ,IS_061,Profit after tax attributable to the parent company,income_statement
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,IS_062,Profit after tax attributable to non-controlling interests,income_statement
21. Lãi cơ bản trên cổ phiếu(*),IS_070,Basic earnings per share,income_statement
22. Lãi suy giảm trên cổ phiếu (*),IS_071,Diluted earnings per share,income_statement
