vi_caption,category_code,en_caption,report_type
1. Lợi nhuận trước thuế,CF_001,Profit before tax,cash_flow_statement
- Khấu hao TSCĐ và BĐSĐT,CF_002,Depreciation of fixed assets and investment properties,cash_flow_statement
- Các khoản dự phòng,CF_003,Provisions,cash_flow_statement
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",CF_004,Foreign exchange gains/losses due to revaluation of foreign currency monetary items,cash_flow_statement
"- Lãi, lỗ từ hoạt động đầu tư",CF_005,Gains/losses from investment activities,cash_flow_statement
- Chi phí lãi vay,CF_006,Interest expenses,cash_flow_statement
- Các khoản điều chỉnh khác,CF_007,Other adjustments,cash_flow_statement
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,CF_008,Profit from business activities before changes in working capital,cash_flow_statement
"- Tăng, giảm các khoản phải thu",CF_009,Increase/decrease in receivables,cash_flow_statement
"- Tăng, giảm hàng tồn kho",CF_010,Increase/decrease in inventories,cash_flow_statement
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",CF_011,"Increase/decrease in payables (excluding interest payable, corporate income tax payable)",cash_flow_statement
"- Tăng, giảm chi phí trả trước",CF_012,Increase/decrease in prepaid expenses,cash_flow_statement
"- Tăng, giảm chứng khoán kinh doanh",CF_013,Increase/decrease in trading securities,cash_flow_statement
- Tiền lãi vay đã trả,CF_014,Interest paid,cash_flow_statement
- Thuế thu nhập doanh nghiệp đã nộp,CF_015,Corporate income tax paid,cash_flow_statement
- Tiền thu khác từ hoạt động kinh doanh,CF_016,Other cash receipts from business activities,cash_flow_statement
- Tiền chi khác cho hoạt động kinh doanh,CF_017,Other cash payments for business activities,cash_flow_statement
Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_020,Net cash flow from operating activities,cash_flow_statement
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",CF_021,"Cash outflows for purchase, construction of fixed assets and other long-term assets",cash_flow_statement
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",CF_022,Cash inflows from disposal of fixed assets and other long-term assets,cash_flow_statement
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",CF_023,"Cash outflows for loans, purchasing debt instruments of other entities",cash_flow_statement
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",CF_024,"Cash inflows from recovering loans, reselling debt instruments of other entities",cash_flow_statement
5.Tiền chi đầu tư góp vốn vào đơn vị khác,CF_025,Cash outflows for capital investments in other entities,cash_flow_statement
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,CF_026,Cash inflows from recovering capital investments in other entities,cash_flow_statement
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",CF_027,"Cash receipts from interest, dividends, and profit sharing",cash_flow_statement
Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_030,Net cash flow from investing activities,cash_flow_statement
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",CF_031,"Cash inflows from issuing shares, receiving capital contributions from owners",cash_flow_statement
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",CF_032,"Cash outflows for repaying capital to owners, buying back issued shares",cash_flow_statement
3.Tiền thu từ đi vay,CF_033,Cash inflows from borrowing,cash_flow_statement
4.Tiền chi trả nợ gốc vay,CF_034,Cash outflows for principal debt repayment,cash_flow_statement
5.Tiền chi trả nợ gốc thuê tài chính,CF_035,Cash outflows for principal payments on finance leases,cash_flow_statement
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",CF_036,"Dividends, profits paid to owners",cash_flow_statement
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,CF_037,Cash inflows from non-controlling interests' capital contributions,cash_flow_statement
Lưu chuyển tiền thuần từ hoạt động tài chính,CF_040,Net cash flow from financing activities,cash_flow_statement
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),CF_050,Net cash flow during the period (50 = 20 + 30 + 40),cash_flow_statement
Tiền và tương đương tiền đầu kỳ,CF_060,Cash and cash equivalents at the beginning of the period,cash_flow_statement
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,CF_061,Effects of exchange rate changes on foreign currency conversion,cash_flow_statement
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),CF_070,Cash and cash equivalents at the end of the period (70 = 50 + 60 + 61),cash_flow_statement
